L1c, L1a, L1b, L2c, L2a, L2b, L2prf, TLBe, TLBa, TLBp
16, 4, 32, 1024, 8, 128, 0, 64, 4, 4096
16, 4, 64, 1024, 8, 128, 0, 64, 4, 4096
16, 4, 128, 1024, 8, 128, 0, 64, 4, 4096
32, 4, 32, 1024, 8, 128, 0, 64, 4, 4096
32, 4, 64, 1024, 8, 128, 0, 64, 4, 4096
32, 4, 128, 1024, 8, 128, 0, 64, 4, 4096
32, 8, 64, 1024, 8, 128, 0, 64, 4, 4096
64, 4, 32, 1024, 8, 128, 0, 64, 4, 4096
64, 4, 64, 1024, 8, 128, 0, 64, 4, 4096
64, 4, 128, 1024, 8, 128, 0, 64, 4, 4096
64, 8, 64, 1024, 8, 128, 0, 64, 4, 4096
128, 8, 64, 1024, 8, 128, 0, 64, 4, 4096
